,apical,cell_soma_location,dendrite_type,disease_state,specimen_id,name,reconstruction_type,reporter_status,species,structure_area_abbrev,structure_area_id,structure_layer_name,transgenic_line,adaptation,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,has_burst,has_delay,has_pause,id_x,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,rheobase_sweep_id,rheobase_sweep_number,ri,sag,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,thumbnail_sweep_id,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,hero_first_last_adratio,hero_first_mean_adratio,hero_isi_cv,hero_second_last_adratio,max_rate_first_last_adratio,max_rate_first_mean_adratio,max_rate_isi_cv,max_rate_long_square,max_rate_second_last_adratio,rheo_first_spike_hw,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id_y,max_branch_order,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,superseded,tags,total_length,total_surface,total_volume
65,truncated,"[82.0, 272.0, 81.0]",spiny,epilepsy,567776248,H17.06.003.12.06.03,,,Homo Sapiens,MTG,12141,5,,0.0214086891876433,60.736000000000004,-21.642500291907396,0.234293677485656,1.1889,1.9881866666666699,1.02576,-52.281253814697294,-50.5937525431315,-53.28125,False,False,False,567778891,325.284704,0.0273600000000001,1.18566,1.9850266666666698,1.02349,40.6875,41.552085876464794,41.8437519073486,567777194,41,376.32212042808504,0.125462770462036,1.137630592,1.20192,2.0065133333333303,,-55.59375,-54.42708714803061,,30.0,24.125,420.0,1.185,1.9844133333333303,1.02298,-33.3125038146973,-34.5416666666667,-40.0312519073486,567777178,1.20192,2.0065133333333303,1.49343,-55.59375,-54.42708714803061,-61.656253814697294,3.1072406819518195,3.4475580050865604,3.3145368310602303,-94.46875762939449,-59.619102478027294,0.5486581729465992,0.666491043203373,0.14337997449253345,0.674979669287071,0.45838150289017987,0.5317713519335175,0.1307492251191778,34.0,0.5872832369942171,0.0010999999999998789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,NA,"[9500.0, 1405.30182944901, 8720.35890413006]",aspiny,,486754703,Pvalb-IRES-Cre;Ai14-208711.03.01.01,,positive,Mus musculus,VISp,385,2/3,Pvalb-IRES-Cre,0.00373988765949594,17.101403508771902,-5.701250235801151,0.9673306835634858,1.0433350000000001,7.69839,1.02548083333333,-50.750003814697294,-49.296878814697294,-58.843751907348604,False,False,False,486896595,297.79062400000004,0.0121500000000001,1.0419200000000002,7.69654,1.02335416666667,-0.4375,-1.421875,4.76562523841858,486759860,55,190.13400375843003,0.0392634160816669,2.117572352,1.547855,,1.31913166666667,-41.21875,,-74.9791692097982,130.0,166.875,68.3333333333333,1.04159,7.6960725000000005,1.02306833333333,-32.9062538146973,-25.0625,-41.302085240682004,486759844,1.043595,7.699072500000001,1.31913166666667,-51.031253814697294,-49.71875,-74.9791692097982,1.6721619647588,0.9826956711782651,1.75799136946655,-94.4375,-73.6521224975586,0.6587050359712135,0.6692433164406286,0.10112412639203863,0.7306474820143769,0.5628891656289184,0.640838201727495,0.11636868956136244,142.0,0.599003735990053,0.00045999999999990493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,truncated,"[322.0, 246.0, 94.0]",spiny,epilepsy,542143598,H16.03.008.11.11.03,full,,Homo Sapiens,MTG,12141,4,,0.0732240985030477,61.476000000000006,-63.1350041691014,0.283797909407666,1.13008,3.82354,1.02490666666667,-46.687503814697294,-49.750001907348604,-48.5625025431315,False,False,False,542150687,234.6812,0.0375800000000002,1.1284399999999999,3.82173,1.02348,21.7500019073486,36.515625,26.4375012715658,542145850,47,237.50019073486303,0.0553101375699043,1.848702976,,,,,,,50.0,70.0625,520.0,1.12784,3.8211699999999995,1.02298,-37.875,-39.5625,-38.364585876464794,542145832,1.1301,3.82364,1.02499333333333,-46.781253814697294,-49.828126907348604,-48.645835876464794,2.29278125347082,2.56364107703403,2.2529956871956602,-100.56250762939501,-71.68495178222659,0.06464074169456346,0.08165788275098905,0.3809126965407525,0.12928148338913265,0.14648829431438168,0.15709864524195216,0.27064502130139845,36.0,0.19331103678929995,0.0008399999999999519,78.86718237076329,,0.8960259518055741,0.5580347929766679,85.88095238095241,0.995728196197511,,606347920.0,11.0,719.5139692032401,full,21.0,46.0,3660.0,4.0,25.0,143.276,876.5799669001191,382.05902054286497,0.1144,0.1144,0.28,317.857089536021,False,3D Neuron Reconstruction morphology,4272.81625925563,7536.11419973345,1099.21140829301
68,NA,"[8050.0, 1106.81668429992, 3396.01009218119]",aspiny,,482773968,Htr3a-Cre_NO152;Ai14-200456.06.02.01,,positive,Mus musculus,VISp,385,5,Htr3a-Cre_NO152,-0.0084775662765564,109.526875,-79.96061451853721,0.12857141364594,1.3290799999999998,8.850905000000001,1.02912666666667,-51.000003814697294,-53.5625025431315,-61.786460240682004,False,False,False,482788925,78.749264,0.0792950000000001,1.32314,8.84468333333333,1.02332416666667,15.3437509536743,27.1770839691162,25.1562512715658,482785487,51,103.437386453152,0.0324804931879044,1.597012352,1.33544,8.858410000000001,1.6018333333333301,-54.375003814697294,-57.052085876464794,-73.0729192097982,209.99998474121102,195.583333333333,830.0,1.32259,8.84422,1.02295666666667,-31.4687519073486,-35.43750127156579,-39.302086512247705,482785469,1.33544,8.858410000000001,1.6018333333333301,-54.375003814697294,-57.052085876464794,-73.0729192097982,3.08893778624712,3.6813386586201697,2.4081164153255896,-83.5937576293945,-71.7685928344727,1.12595402403912,1.1247011292890432,0.05673479868301382,0.9962524564690826,0.7979532438268689,0.8224396537820536,0.05302006568423325,19.0,0.9392545300910695,0.0010900000000000354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,NA,"[9200.00000000001, 1613.63841472451, 2385.61810778752]",aspiny,,486514107,Rorb-IRES2-Cre-D;Ai14-206931.03.02.01,,negative,Mus musculus,VISp,385,4,Rorb-IRES2-Cre,,6.394999999999929,20.6300011795779,1.2094791529983602,1.02643,12.14323,1.02400333333333,-74.3437576293945,-65.4479192097982,-70.1770858764648,False,False,False,486521822,125.796392,0.0044950000000001395,1.0259200000000002,12.142556666666698,1.0233275,17.03125,9.61458365122477,7.64062523841858,486518079,56,97.0312133431435,0.0288263522088528,2.434409984,,,,,,,320.0,278.04166666666697,469.99996948242205,1.025665,12.142244999999999,1.02308916666667,-51.4375,-35.6250025431315,-50.73958714803061,486518061,1.026465,12.14326,1.4243708333333303,-74.5625076293945,-65.562505086263,-77.6145846048991,1.1306146340921899,1.07889107279272,1.3262651568226,-88.46875,-77.4586486816406,,,,,0.7858695652173854,0.8122576924041257,0.04916983425729702,225.0,0.830434782608741,0.0002500000000000835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,NA,"[8559.0, 1245.46645663822, 8058.38669749425]",aspiny,,491029832,Sst-IRES-Cre;Ai14-216078.05.01.01,,positive,Mus musculus,VISp,385,5,Sst-IRES-Cre,0.0048987382116916205,34.1567857142857,13.2581255002373,0.535286713328499,1.121335,5.49869666666667,1.02443,-65.46875,-65.312505086263,-67.3125045776367,False,False,False,491086826,184.539952,0.0141150000000001,1.12026,5.49777,1.0233700000000001,22.53125,33.8541692097982,29.2875019073486,491030138,38,182.500004768372,0.11977082490921,1.259977216,,,1.043153,,,-72.8187561035156,100.0,111.958333333333,380.0,1.1199,5.49740333333333,1.023031,-45.53125,-44.322920481363894,-46.4000007629395,491030126,1.121475,5.49880166666667,1.043153,-65.7187576293945,-65.4479166666667,-72.8187561035156,1.7103609361432999,1.69346096878831,1.7069360076549198,-92.1875,-71.7014846801758,0.7662113587347241,0.7800792563703101,0.15503069575019374,0.6890007189072604,0.8435427233710617,0.9154090427944945,0.1260372437612846,85.0,0.719079204057754,0.0004549999999998722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,intact,"[127.0, 354.0, 219.0]",spiny,tumor,531520401,H16.06.007.01.07.02,full,,Homo Sapiens,FroL,12113,3,,,6.83999999999996,-22.5974985251787,0.0593750009792187,1.1168799999999999,9.72222666666667,1.025008,-50.0,-52.3229192097982,-47.62500152587889,False,False,False,531543669,70.14132,0.0638400000000001,1.11514,9.72003333333333,1.023496,50.281253814697294,38.6875,46.4937515258789,531533294,56,68.9061731100082,0.21163061261177105,1.80020224,,9.79449333333333,,,-54.11458714803061,,190.0,217.499994913737,2070.0,1.11474,9.71948666666667,1.023064,-42.65625,-42.6979166666667,-49.312503814697294,531533298,1.11696,9.79449333333333,1.025052,-50.062503814697294,-54.11458714803061,-47.6812515258789,4.46920730828021,3.29464073892411,4.18388566693171,-78.0,-70.63800048828121,,,,,0.04494382022471868,0.05385190725504811,0.4734897084799734,10.0,0.15611167858358885,0.0008000000000001339,65.0298913295741,,0.9091208845415419,0.572115845722117,67.7988505747126,0.9624829641064421,,572837189.0,16.0,1026.56720501698,full,87.0,182.0,11933.0,8.0,95.0,163.5144,1154.0061758188401,482.334788321201,0.1144,0.1144,0.28,836.4020702001269,False,3D Neuron Reconstruction morphology,14378.1374495941,25748.8984439159,4154.263073237
72,truncated,"[67.0, 256.0, 110.0]",spiny,epilepsy,527942865,H16.06.008.01.26.04,full,,Homo Sapiens,MTG,12141,5,,0.9758585146205171,368.66,-88.7399945193046,0.0785947712418301,1.2780200000000002,4.22080666666667,1.025868,-53.1875,-56.083335876464794,-50.881251525878895,False,False,False,527947716,109.75153600000002,0.05206,1.27558,4.21818666666667,1.023716,46.062503814697294,43.7708346048991,40.9937515258789,527944970,35,136.718824505806,0.17973266541957897,1.1085027840000001,,4.22167333333333,,,-56.77083714803061,,70.0,79.9583333333333,820.0,1.27506,4.21761333333333,1.023192,-39.9062538146973,-41.25000127156579,-44.55625381469729,527944974,1.39012,4.22167333333333,1.026132,-59.250003814697294,-56.77083714803061,-51.0250015258789,3.9061845803226696,3.81411698303088,3.75634592212295,-82.5937576293945,-67.7251434326172,0.012218225748881317,0.024141485379482797,0.9758585146205172,1.0,0.06688386354925245,0.08248995466168142,0.4023477932796511,12.0,0.19279417401303098,0.0009600000000000719,71.3006043083775,,0.845900877489379,0.8968018966485609,99.73809523809521,0.930432608365231,,601947670.0,8.0,1201.08680055038,full,21.0,48.0,4260.0,6.0,27.0,134.9334,1307.90464773536,519.473713065535,0.1144,0.1144,0.28,631.7110796621749,False,3D Neuron Reconstruction morphology,5411.47931733359,15266.5960421578,3602.7334653356797
73,intact,"[8404.72297285481, 745.670664409156, 8004.09557485855]",spiny,,517974394,Nr5a1-Cre;Ai14(GSL)-249210.04.01.01,,positive,Mus musculus,VISp,385,2/3,Nr5a1-Cre,0.0345335771987173,84.58200000000001,8.552498986791331,0.157360750201423,1.13374,5.04965333333333,1.024912,-46.937503814697294,-48.5520833333333,-48.975003814697295,False,False,False,517978874,134.375424,0.056060000000000006,1.13196,5.04786666666667,1.023444,45.0625,43.8437525431315,43.756252288818395,517977730,48,161.562502384186,0.0567607432603836,1.047345536,1.1578,5.07828666666667,,-52.937503814697294,-55.5625012715658,,110.0,100.666666666667,1060.0,1.1315600000000001,5.04745333333333,1.02308,-37.0,-35.9479192097982,-44.71875152587889,517977734,1.1578,5.07828666666667,1.8182479999999999,-52.937503814697294,-55.5625012715658,-78.4187515258789,3.92953006277305,3.60201829380475,3.8088487328721805,-94.50000762939449,-77.4467315673828,0.5344936045292515,0.6027287129649336,0.16561091040935033,0.7720696162717565,0.26134632957660753,0.361575254430141,0.31536028222237844,21.0,0.42857142857142905,0.0007199999999998319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,NA,"[9351.33869899615, 1391.06688900974, 8262.15695285891]",aspiny,,464326210,Gad2-IRES-Cre;Ai14-167291.03.01.01,,positive,Mus musculus,VISp,385,5,Gad2-IRES-Cre,0.00474667064417164,7.1788888888889,-7.64312484829999,0.0655502392344485,1.0297049999999999,,1.023790625,-64.5937576293945,,-65.71484375,False,False,False,464370428,180.26936,0.00576500000000002,1.028935,,1.023030625,18.8750019073486,,21.7265632152557,464356582,53,114.21874910593,0.0589748583734035,1.517646976,1.60575,,1.363485625,-45.625,,-69.21484375,160.0,,350.0,1.028605,,1.022731875,-47.125,,-48.121094703674295,464356570,1.029775,,1.363485625,-64.71875,,-69.21484375,1.32866909950094,,1.36295629215025,-83.125,-69.6380767822266,0.7805605247465865,0.9117009750812591,0.06343407098382058,0.9069767441860711,0.7805605247465865,0.9117009750812591,0.06343407098382058,28.0,0.9069767441860711,0.00035500000000010523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,NA,"[8457.527528141, 883.09866626929, 8509.82744387051]",sparsely spiny,,583141894,Chat-IRES-Cre-neo;Ai14-313182.05.01.01,,positive,Mus musculus,VISp,385,2/3,Chat-IRES-Cre-neo,0.00152845483867905,47.4355555555556,48.594999552120704,0.32090163934426197,1.4591,2.71167333333333,1.02579,-52.593753814697294,-51.5625025431315,-52.968753814697294,False,False,False,585129324,431.868256,0.00940000000000007,1.4567,2.7093866666666697,1.0236100000000001,18.2812519073486,26.1250019073486,24.125,585118800,42,291.875034570694,0.0846019759774208,1.866344704,,,,,,,40.0,42.25,180.0,1.45614,2.70882666666667,1.0231299999999999,-40.1875,-39.2604192097982,-42.8281269073486,585118739,1.45976,2.7124200000000003,1.75407,-52.781253814697294,-51.9062525431315,-66.1562538146973,2.59939043809357,2.8267484159591603,3.08781695555448,-102.03125,-65.30014038085939,0.8292147171883605,0.6366532371404479,0.4549827088843479,0.8791872597473923,0.4180690876882141,0.4558699628054117,0.7624182266064471,48.0,0.33126660761735677,0.0009399999999999409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
