"","cell_id","clampfit_gain","resp_offset","resp_channel_name","command_channel_name","expt_date","layer_name","cell_type","recorder_name","subject_id","rmp"
"154","2016_03_03_0054.abf","50 X",-26.3,"I clamp(pA)","Input07 (mV)",2016-03-03,"L2.3","Pyr","Homeira","X2016.03.03",-66.3
"155","2016_03_03_0100.abf","50 X",-12.8,"I clamp(pA)","Input07 (mV)",2016-03-03,"L2.3","Pyr","Homeira","X2016.03.03",-64.8
"156","2016_03_03_0103.abf","50 X",-17.7,"I clamp(pA)","Input07 (mV)",2016-03-03,"L2.3","Pyr","Homeira","X2016.03.03",-65.7
"157","19122022.abf","20",-19.2,"I clamp(pA)","Current _in (pA)",2019-01-22,"L3c",NA,"Homeira","X2019.01.22",NA
"158","19122024.abf","20",-19.2,"I clamp(pA)","Current _in (pA)",2019-01-22,"L3c","Pyr","Homeira","X2019.01.22",-63.7
"159","19122003.abf","20 X",-19.7,"I clamp(pA)","Current_in (pA)",2019-01-22,"L2.3","Pyr","Homeira","X2019.01.22",-68.7
"160","19122017.abf","20 X",-20.7,"I clamp(pA)","Current_in (pA)",2019-01-22,"L2.3","Pyr","Homeira","X2019.01.22",-66.7
"161","19122026.abf","20X",-24.6,"Iclamp(mV)","Current_in (pA)",2019-01-22,"L5","Pyr","Homeira","X2019.01.22",-60.6
"162","19128003.abf","20X",-19.4,"Iclamp(mV)","Current_in (pA)",2019-01-28,"L5","Pyr","Homeira","X2019.01.28",-62
"163","19128036.abf","20X",-10.1,"Iclamp(mV)","Current_in (pA)",2019-01-28,"L5","Pyr","Homeira","X2019.01.28",-64.1
"164","19128044.abf","20X",-24.2,"Iclamp(mV)","Current_in (pA)",2019-01-28,"L5","Pyr","Homeira","X2019.01.28",-64.2
"165","19128061.abf","20X",-13,"Iclamp(mV)","Current_in (pA)",2019-01-28,"L5","Pyr","Homeira","X2019.01.28",-66
"166","19128068.abf","20X",-20.3,"Iclamp(mV)","Current_in (pA)",2019-01-28,"L5","Pyr","Homeira","X2019.01.28",-62.3
"167","19129040.abf","20",-19,"I clamp(pA)","Current _in (pA)",2019-01-29,"L3c","Pyr","Homeira","X2019.01.29",-66.5
"168","19129047.abf","20",-16.6,"I clamp(pA)","Current _in (pA)",2019-01-29,"L3c","Pyr","Homeira","X2019.01.29",-67.1
"169","19129043.abf","20",-19,"I clamp(pA)","Current _in (pA)",2019-01-29,"L3c","Pyr","Homeira","X2019.01.29",-65.8
"170","19129004.abf","20X",-25.9,"Iclamp(mV)","Current_in (pA)",2019-01-29,"L3c","Pyr","Homeira","X2019.01.29",-62.9
"171","19129064.abf","20X",-24.2,"I clamp(pA)","Current _in (pA)",2019-01-29,"L3c","Pyr","Homeira","X2019.01.29",-71.2
