"","cell_id","layer_name","cell_type","recorder_name","subject_id","acquisition_time","rmp","voltage_drift","has_morphology","tag_comments","has_burst"
"64","14d16000.abf","L2.3","Pyr","Lihua","X2014.12.16","2014-12-16 13:20:57.762",-72.7233902973694,1.62549440574367e-06,FALSE,"",FALSE
"65","14d16016.abf","L2.3","Int","Lihua","X2014.12.16","2014-12-16 13:57:52.686",-71.4111344086632,1.3580338227257,FALSE,"",FALSE
"66","14d16022.abf","L2.3","Pyr","Lihua","X2014.12.16","2014-12-16 14:38:46.858",-66.9250503240164,1.49589139653017e-06,FALSE,"",FALSE
"67","14d16056.abf","L2.3","Int","Lihua","X2014.12.16","2014-12-16 16:24:03.121",-75.1647966019391,1.8615739456891,FALSE,"",FALSE
"68","14d16109.abf","L2.3","Int","Lihua","X2014.12.16","2014-12-16 18:32:09.695",-74.5,0.4359130859375,FALSE,"",FALSE
"69","14d16134.abf","L2.3","Pyr","Lihua","X2014.12.16","2014-12-16 19:24:36.826",-68.0389419504764,0.411988825476399,FALSE,"",FALSE
"70","14d18005.abf","L2.3","Pyr","Lihua","X2014.12.18","2014-12-18 12:44:56.051",-76.4617937012418,0.0915544434293025,FALSE,"",FALSE
"71","14d18033.abf","L2.3","Pyr","Lihua","X2014.12.18","2014-12-18 13:45:32.958",-75.134279023132,0.900270234069495,FALSE,"",FALSE
"72","14d18087.abf","L2.3","Pyr","Lihua","X2014.12.18","2014-12-18 16:33:38.632",-76.3244645966097,1.70598470106142e-06,FALSE,"",FALSE
"73","14d18113.abf","L2.3","Pyr","Lihua","X2014.12.18","2014-12-18 17:36:08.709",-75.6988542310637,0.671388410751206,FALSE,"",FALSE
"74","15105000.abf","L2.3","Pyr","Lihua","X2015.01.05","2015-01-05 12:40:00.591",-68.0999771080906,1.5411392174656,FALSE,"",FALSE
"75","15105065.abf","L2.3","Pyr","Lihua","X2015.01.05","2015-01-05 18:55:53.986",-67.3828140061233,1.6937270920608,FALSE,"",FALSE
"76","15105080.abf","L2.3","Pyr","Lihua","X2015.01.05","2015-01-05 21:03:01.400",-71.9299332483843,0.778199849946787,FALSE,"",FALSE
"77","15105107.abf","L2.3","Pyr","Lihua","X2015.01.05","2015-01-05 21:25:30.881",-73.8983170814436,0.625612003318594,FALSE,"",FALSE
"78","15127000.abf","L2.3","Pyr","Lihua","X2015.01.27","2015-01-27 14:39:41.235",-73.5,0.70654296875,FALSE,"",TRUE
